Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
417,IT,50,51120,10,53.3,80.3,No
418,IT,40,55173,4,43.1,56.0,Yes
419,Operations,32,62730,5,39.2,63.6,Yes
420,Marketing,55,47954,5,51.7,51.0,No
421,IT,28,57332,4,51.8,74.2,No
422,Marketing,55,67286,8,27.7,67.2,No
423,IT,41,43056,11,47.1,55.4,No
424,IT,59,27133,7,36.9,71.3,Yes
425,Finance,45,63049,5,48.2,64.6,Yes
426,IT,31,85035,7,52.6,72.5,Yes
427,HR,53,54911,4,50.0,51.1,Yes
428,Operations,36,57423,5,50.7,60.1,Yes
429,Operations,58,51450,3,39.7,67.1,No
430,Marketing,41,74056,8,41.3,75.3,Yes
431,IT,24,54066,2,49.7,50.4,Yes
432,HR,58,52761,7,45.6,66.7,No
433,Marketing,29,65930,2,32.7,79.9,Yes
434,Finance,44,49188,2,52.1,65.9,Yes
435,Marketing,32,39583,4,33.3,60.2,No
436,Marketing,29,65587,6,47.6,56.9,Yes
437,IT,50,47901,6,46.7,57.2,No
438,Finance,51,43294,4,54.5,68.4,No
439,Marketing,31,80200,8,43.1,35.2,No
440,HR,49,52856,8,28.8,56.8,No
441,HR,57,60930,9,46.1,71.3,Yes
442,Operations,34,55354,5,47.7,76.2,No
443,Finance,53,44364,4,53.6,51.0,Yes
444,Finance,57,63273,5,40.8,55.6,No
445,Operations,58,58774,6,50.6,66.1,No
446,Marketing,47,47087,3,52.2,74.3,No
447,Finance,43,60198,6,39.1,59.4,No
448,HR,25,48828,9,47.5,63.1,No
449,HR,52,41746,3,33.2,70.1,Yes
450,IT,39,40531,6,49.5,47.7,No
451,Finance,59,58240,3,46.8,89.4,No
452,Marketing,45,50407,5,35.1,66.2,No
453,Operations,44,73020,2,41.8,59.7,No
454,Operations,43,54484,5,53.7,82.1,No
455,Marketing,23,45577,2,46.6,66.9,No
456,IT,52,56893,4,39.5,62.4,No
457,Operations,32,39468,3,38.9,70.6,Yes
458,Finance,49,53990,6,53.0,65.6,No
459,IT,53,58830,7,41.1,55.8,Yes
460,Finance,26,57348,6,46.8,81.0,Yes
461,HR,59,70633,4,41.7,42.5,No
462,IT,31,86170,8,27.3,58.9,Yes
463,Operations,45,63056,4,39.8,92.8,Yes
464,IT,56,69145,6,54.1,66.6,Yes
465,IT,44,85521,6,62.2,41.2,Yes
466,IT,38,42925,4,38.8,81.9,No
467,IT,22,56567,6,47.7,60.7,No
468,Finance,52,49264,5,63.6,49.1,No
469,HR,52,65111,4,54.6,80.8,Yes
470,Marketing,55,58259,6,35.3,81.5,Yes
471,IT,30,45178,6,42.9,86.4,Yes
472,Operations,43,55131,7,47.1,50.5,Yes
473,IT,34,67563,6,55.2,62.9,No
474,Operations,46,39355,6,35.4,60.6,Yes
475,Finance,39,45431,8,51.2,51.0,Yes
476,Operations,33,43632,6,50.6,73.6,Yes
477,Marketing,38,58916,7,42.6,81.4,No
478,HR,36,69886,3,62.2,58.2,No
479,Operations,36,30883,2,37.7,67.3,No
480,Operations,36,56132,5,47.9,67.2,Yes
481,HR,34,43909,9,46.6,81.3,Yes
482,Marketing,38,67064,3,48.0,65.1,Yes
483,IT,53,52156,2,54.2,65.5,No
484,Operations,30,56568,5,34.3,78.7,No
485,HR,41,54983,1,46.3,66.9,Yes
486,Finance,47,68490,4,60.8,56.5,No
487,HR,48,79583,6,51.4,48.6,No
488,Finance,42,41384,4,39.7,55.7,No
489,Marketing,39,43569,5,38.6,68.6,No
490,IT,34,58857,5,49.1,45.5,Yes
491,HR,37,45203,1,41.1,69.1,Yes
492,Operations,30,66203,9,43.9,42.3,Yes
493,Marketing,33,68129,3,39.1,50.1,No
494,HR,59,48441,2,61.6,74.8,No
495,Operations,40,45837,6,47.8,58.3,Yes
496,HR,28,51702,5,45.4,68.5,Yes
497,Finance,56,56248,3,31.9,64.2,Yes
498,HR,39,58778,4,38.4,88.4,Yes
499,HR,37,27966,5,44.5,67.0,Yes
500,HR,25,43390,8,44.5,49.7,Yes
501,Marketing,46,50150,3,58.3,74.1,No
502,HR,53,45436,6,46.0,49.2,No
503,Operations,34,25000,9,53.3,79.9,Yes
504,Finance,38,32339,7,46.4,76.9,Yes
505,Finance,58,39335,3,51.9,69.4,Yes
506,HR,27,53616,4,31.7,76.3,Yes
507,Marketing,40,49765,4,34.9,82.6,Yes
508,Marketing,34,47421,11,52.4,64.6,Yes
509,Operations,47,64558,4,57.0,67.6,No
510,HR,35,64553,5,31.3,68.6,Yes
511,Finance,52,56799,7,45.1,54.0,No
512,Marketing,25,56441,13,33.0,56.4,No
513,HR,29,44720,8,39.7,65.9,Yes
514,Marketing,46,46156,6,29.8,64.9,No
515,Marketing,34,34508,5,44.1,68.8,Yes
516,Finance,53,51990,4,43.5,57.6,Yes
517,IT,59,64428,3,43.4,42.9,No
518,Operations,59,71251,9,42.7,87.0,Yes
519,Operations,49,52062,7,50.1,44.1,Yes
520,Finance,51,60900,9,58.7,77.2,Yes
521,Marketing,24,25000,6,35.3,60.4,No
522,HR,49,49804,7,38.3,68.0,No
523,Marketing,24,49523,4,46.0,74.9,Yes
524,Finance,55,72894,6,42.9,58.2,Yes
525,Operations,37,59715,4,42.5,44.5,Yes
526,Marketing,43,60931,2,34.5,80.0,Yes
527,Operations,53,60307,4,41.4,75.0,Yes
528,HR,59,55545,5,41.4,66.1,No
529,Operations,29,73388,3,46.8,77.4,Yes
530,Operations,29,27336,6,37.7,69.9,Yes
531,IT,27,56754,2,52.1,64.2,No
532,IT,35,68557,2,34.9,62.0,Yes
533,IT,53,32303,5,57.4,32.8,No
534,Operations,56,65055,6,38.5,69.0,Yes
535,Finance,31,45866,4,56.5,49.8,No
536,Operations,24,56317,2,39.0,71.6,No
537,Finance,33,45635,5,51.6,60.6,No
538,Finance,52,66509,7,42.1,39.1,No
539,IT,50,51539,9,45.6,64.1,Yes
540,Marketing,26,65149,5,49.8,58.3,Yes
541,HR,46,60223,7,42.3,85.7,Yes
542,IT,52,45474,10,29.8,35.0,No
543,IT,42,61022,5,39.9,52.6,No
544,Marketing,41,47037,6,41.0,47.3,No
545,HR,43,55769,7,58.8,76.8,No
546,Operations,25,51320,6,44.6,68.2,No
547,Operations,34,65798,9,46.4,76.2,No
548,IT,41,61483,6,44.1,48.3,Yes
549,HR,34,54631,4,46.7,50.5,No
550,IT,38,46771,7,35.1,65.9,No
551,Finance,57,39772,3,39.5,91.0,Yes
552,IT,54,56627,4,50.3,73.2,Yes
553,IT,22,47412,3,43.2,51.8,No
554,Operations,36,32464,5,44.2,68.3,Yes
555,Operations,34,39039,2,44.8,73.9,No
556,Operations,38,74510,3,50.5,44.6,Yes
557,Finance,45,47080,3,39.9,61.2,Yes
558,Operations,29,67985,7,45.8,62.3,Yes
559,HR,48,50720,4,27.8,91.9,Yes
560,Marketing,44,69874,7,32.1,66.4,No
561,HR,29,69005,5,43.0,90.0,No
562,HR,29,45091,3,36.2,53.8,No
563,Operations,47,31144,7,52.9,73.2,No
564,Marketing,34,32160,4,36.5,44.2,No
565,Marketing,58,45296,4,44.0,74.2,Yes
566,Marketing,49,77675,5,51.4,59.2,No
567,Finance,46,50073,3,48.9,60.1,Yes
568,Operations,37,56742,6,40.6,75.7,Yes
569,Marketing,23,70640,9,41.9,77.2,No
570,Finance,39,56323,3,48.8,69.6,No
571,IT,38,55910,2,51.5,92.1,Yes
572,IT,51,62471,2,57.0,66.0,Yes
573,Finance,34,58467,7,51.4,69.9,Yes
574,Finance,53,53806,5,50.5,69.0,No
575,Operations,50,46342,8,47.7,75.5,Yes
576,Operations,51,55941,6,46.0,65.4,No
577,IT,39,68132,4,42.0,49.7,No
578,Marketing,34,76384,4,49.0,70.7,No
579,IT,42,58507,7,43.1,42.0,No
580,Marketing,51,64061,2,50.6,77.9,No
581,Marketing,42,58236,2,50.8,82.6,Yes
582,Operations,38,53952,5,48.8,57.7,Yes
